Node,Value
Rich Gonzalez,3.549863670164422
Anya Adams,3.293398330992316
Kash Thomas,3.7689828968024455
Rory Howard,3.756589275386268
Kaia Nguyen,3.4900437907956703
Lennon White,3.806618193836239
Elise Murphy,3.7441130298273158
Natalie Nguyen,3.8336362885235067
Mara Gomez,3.9278278112864577
Nia James,3.848715194579856
Sebastian Gomez,3.8309096918119474
Mary Myers,3.3989093613153765
Francis Diaz,3.9353466082789392
Marcus Adams,2.902049078740808
Jordan Jackson,3.9020077666694206
Harlow Brown,3.2560109063868463
Margaret Collins,2.9355531686358756
Maisie Cooper,3.8245889448896966
Jonah Powell,3.6985045030157813
Silas Smith,3.4792613401635957
Daisy Torres,3.4724861604560853
Hunter Flores,3.5485416838800297
Silas Morales,3.7425431711145998
Ezra Harris,3.893290919606709
Eloise Reed,3.756589275386268
Amy Phillips,3.8244236966041476
Azariah Wood,3.8937866644633563
Evie Parker,3.9474097331240188
Phoebe Lewis,3.890894819466248
Natalie Torres,3.44075848963067
Ezekiel Ross,2.801991241840866
Sierra Campbell,3.8019499297694788
Sadie Ortiz,3.9474097331240188
Jayden Evans,3.7018920928695365
Hallie Martinez,3.9204742625795257
Caroline Sullivan,3.9204742625795257
Genevieve Martinez,3.938238453276047
Elle Roberts,3.9020077666694206
Florence Cook,3.880153680905561
Theodore Fisher,3.2527472527472527
Celeste Brown,3.4543088490456912
Skye James,3.7885648186400065
Beau Rivera,3.733206642981079
Blake Parker,3.506692555564736
Aaron Mitchell,3.5742791043542925
Kennedy Nelson,3.9204742625795257
Lauren Allen,3.8336362885235067
Emma Martin,3.5463934561678925
Vivian Campbell,3.6493018259935552
Christopher Moore,3.810171031975543
Fiona Butler,3.7791456663637115
Adriel Brooks,3.91287284144427
Celeste Ramirez,3.6493018259935552
Arianna Flores,3.5485416838800297
Louis Turner,3.6965215235891926
Ruby Garcia,3.880153680905561
Alexis Bennett,3.5463934561678925
Willow Murphy,3.756589275386268
Mira Nelson,2.980748574733537
Deborah Thomas,3.98070726266215
Mika Wright,3.9576964388994464
Alexis Howard,3.91287284144427
Aubrey Rivera,3.5577542757993887
Hazel Thomas,3.938238453276047
Aiden Jones,3.6923076923076925
Keira Gonzalez,3.9204742625795257
Justin Allen,3.838304552590267
Mae Anderson,3.815872097826985
Arthur Lewis,3.9575311906138975
Jace Jackson,3.8400396595885318
Eva Lopez,3.5485416838800297
Maverick Peterson,3.806618193836239
Ali Johnson,2.7804263405767164
Athena Cooper,2.878170701478972
Rachel Martin,3.902999256382715
Inayah Lewis,3.54416260431298
Callum Murphy,3.7885648186400065
Rome Carter,3.933859373708998
Kayden Turner,2.7082954639345616
Alexandra Cooper,3.8937866644633563
Jonathan Gutierrez,3.902999256382715
Callie Roberts,3.5485416838800297
Wren Nguyen,3.971783855242502
Damian Sullivan,3.640378418573907
Hadassah Price,3.9474097331240188
Hannah Brooks,3.5485416838800297
Arianna Adams,3.880153680905561
Cyrus Reed,3.8937866644633563
Sydney Reyes,3.9278278112864577
Vincent Butler,3.9204742625795257
Sarah Lopez,3.9278278112864577
Avery Parker,3.6287697265140872
Elliot Morris,3.9204742625795257
Dylan Wright,3.8937866644633563
Sebastian King,3.91287284144427
Amira Hall,3.6882177972403536
Arianna Taylor,3.9204742625795257
Violet Scott,3.9353466082789392
Kyle Miller,3.756589275386268
Celeste Murphy,2.689209286953648
Max Butler,3.933859373708998
Sage Rodriguez,3.749400974964885
Esther Lee,3.7791456663637115
Alexis Sanders,3.751673138891184
Sage Miller,3.7791456663637115
Skye Clark,2.8802776171197224
Aditya Flores,3.5485416838800297
Ella Butler,3.806618193836239
Nico Rivera,3.7791456663637115
Peter Brown,3.5182599355531687
Elliot Rodriguez,3.880236305048335
Sophie Gutierrez,3.424151036932992
Everett Gutierrez,3.5463934561678925
Atlas Lewis,3.5463934561678925
Malachi Sanders,3.815872097826985
Dante Moore,3.630256961084029
Leon Rogers,3.701313723870115
Emerson Morgan,3.933859373708998
Raya Johnson,3.756589275386268
Ian Flores,3.880153680905561
Kai Morgan,3.9474097331240188
Margaret Hall,3.6996612410146246
Hadassah King,3.880153680905561
Raiden King,3.7933157068495413
Elsie Sullivan,3.9353466082789392
Astrid Anderson,3.5485416838800297
Martin Martin,3.546186895810956
Valerie Rodriguez,3.971783855242502
Michelle Powell,3.756589275386268
Maeve Perry,3.9474097331240188
Maria Lewis,3.862389490209039
Phoebe Diaz,3.756589275386268
Lena James,3.848715194579856
Dylan Adams,3.756589275386268
Cole Parker,3.4841361645872926
Bennett Wilson,3.806618193836239
Elizabeth Baker,2.7640254482359747
Talia Reyes,3.7639841361645874
Cole Perez,3.8336362885235067
Mason Richardson,3.862389490209039
Michael Wilson,3.8937866644633563
Mary Edwards,3.3957696438899445
Arianna Moore,3.9204742625795257
Archer Allen,3.880153680905561
Seraphina Murphy,3.862389490209039
Gideon Morgan,3.8244236966041476
Siobhan Edwards,3.7885648186400065
Mabel Russell,3.622325043377675
Ari Carter,3.7761298851524416
Molly Wright,3.91287284144427
Robert Howard,3.281624390646947
Alexander Hernandez,3.9619515822523343
Kevin White,3.466867718747418
Nevaeh Baker,3.4369164669916548
Callum Hall,3.701313723870115
Gianna Adams,3.829050648599521
Isaiah Moore,3.806618193836239
Raelynn Bell,3.9278278112864577
Lincoln Foster,3.7761298851524416
